Year,Team,Center,Forward,Forward,Guard,Guard
1989,2nd,ewingpa01,chambto01,mullich01,johnske02,stockjo01
1989,3rd,parisro01,cummite01,wilkido01,ellisda01,pricema01
1988,1st,olajuha01,barklch01,birdla01,johnsma02,jordami01
1988,2nd,ewingpa01,malonka01,wilkido01,drexlcl01,stockjo01
1988,3rd,olajuha01,birdla01,mchalke01,johnsma02,jordami01
1987,1st,malonmo01,barklch01,wilkido01,leverfa01,thomais01
1987,2nd,abdulka01,birdla01,wilkido01,johnsma02,thomais01
1987,3rd,olajuha01,barklch01,englial01,moncrsi01,roberal01
1986,1st,malonmo01,birdla01,kingbe01,johnsma02,thomais01
1986,2nd,abdulka01,cummite01,sampsra01,jordami01,moncrsi01
1986,3rd,abdulka01,birdla01,kingbe01,johnsma02,thomais01
1985,1st,malonmo01,dantlad01,ervinju01,moncrsi01,paxsoji02
1985,2nd,malonmo01,birdla01,ervinju01,johnsma02,moncrsi01
1985,3rd,abdulka01,englial01,willibu01,gervige01,thomais01
1984,1st,malonmo01,birdla01,ervinju01,gervige01,willigu01
1984,2nd,parisro01,englial01,kingbe01,johnsma02,moncrsi01
1984,3rd,abdulka01,birdla01,ervinju01,gervige01,johnsde01
1983,1st,malonmo01,dantlad01,johnsma01,architi01,birdsot01
1983,2nd,abdulka01,birdla01,ervinju01,gervige01,westppa01
1983,3rd,malonmo01,johnsma01,roundda01,johnsde01,willigu01
1982,1st,malonmo01,hayesel01,johnsma01,gervige01,westppa01
1982,2nd,abdulka01,dandrbo01,daviswa03,fordph01,freewo01
1982,3rd,waltobi01,ervinju01,robintr01,gervige01,thompda01
1981,1st,abdulka01,daviswa03,lucasma01,maravpe01,westppa01
1981,2nd,abdulka01,hayesel01,thompda01,maravpe01,westppa01
1981,3rd,waltobi01,ervinju01,mcginge01,gervige01,whitejo01
