Player,Years,Seasons,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shawn Marion,16.0,2000 - 2015,SF,1272,43934,7906,16408,48.18381277425646,862,2613,32.988901645618064,7044,13795,51.06197897789054,50.810580204778155,2545,3140,81.05095541401273,2992,8048,11040,2356,1887,1360,1890,2812,19219
Shawn Respert,4.0,1996 - 1999,SG,172,2350,315,760,41.44736842105263,97,285,34.03508771929825,218,475,45.89473684210526,47.828947368421055,124,152,81.57894736842105,81,145,226,177,91,7,125,192,851
Shawne Williams,7.0,2007 - 2015,SF,318,5469,660,1636,40.34229828850856,281,826,34.01937046004843,379,810,46.79012345679012,48.93031784841076,200,265,75.47169811320755,251,708,959,225,131,160,201,664,1801
Shawnelle Scott,4.0,1997 - 2002,C,113,650,80,174,45.97701149425287,0,2,0.0,80,172,46.51162790697674,45.97701149425287,34,72,47.22222222222222,104,126,230,20,14,24,40,125,194
Shayne Whittington,2.0,2015 - 2016,PF,27,149,24,53,45.28301886792453,1,8,12.5,23,45,51.11111111111111,46.22641509433962,19,25,76.0,15,26,41,9,6,3,10,25,68
Shea Seals,1.0,1998 - 1998,SG,4,9,1,8,12.5,0,3,0.0,1,5,20.0,12.5,2,4,50.0,3,1,4,0,1,0,0,1,4
Shelden Williams,6.0,2007 - 2012,PF,369,5643,594,1285,46.22568093385214,2,9,22.22222222222222,592,1276,46.39498432601881,46.30350194552529,441,595,74.11764705882354,531,1044,1575,163,180,164,310,741,1631
Sheldon Mac,1.0,2017 - 2017,SG,37,304,35,84,41.66666666666667,9,35,25.71428571428571,26,49,53.06122448979592,47.023809523809526,25,29,86.20689655172413,4,32,36,15,8,2,6,18,104
Shelton Jones,1.0,1989 - 1989,SF,51,682,93,209,44.49760765550239,0,1,0.0,93,208,44.71153846153847,44.49760765550239,58,80,72.5,32,81,113,42,21,15,47,58,244
Shelvin Mack,8.0,2012 - 2019,PG,486,8786,1220,2896,42.12707182320442,327,984,33.23170731707317,893,1912,46.70502092050209,47.77279005524862,390,532,73.30827067669173,129,821,950,1481,316,24,577,599,3157
Sherell Ford,1.0,1996 - 1996,SF,28,139,30,80,37.5,4,25,16.0,26,55,47.27272727272727,40.0,26,34,76.47058823529412,12,12,24,5,8,1,6,27,90
Sherman Douglas,12.0,1990 - 2001,PG,782,21672,3408,7068,48.217317487266556,160,598,26.755852842809364,3248,6470,50.200927357032455,49.34917940011319,1627,2399,67.81992496873698,576,1154,1730,4642,799,77,1807,1650,8603
Sherron Collins,1.0,2011 - 2011,PG,20,66,7,25,28.000000000000004,2,10,20.0,5,15,33.33333333333333,32.0,1,1,100.0,0,5,5,8,2,0,4,2,17
Sidney Green,10.0,1984 - 1993,PF,722,13753,2051,4521,45.36606945366069,1,27,3.7037037037037033,2050,4494,45.61637739207833,45.37712895377129,1127,1533,73.51598173515981,1356,2921,4277,653,374,230,1066,1877,5230
Sidney Lowe,4.0,1984 - 1990,PG,193,3422,198,540,36.666666666666664,4,30,13.333333333333334,194,510,38.03921568627451,37.03703703703704,162,212,76.41509433962264,81,254,335,749,191,9,191,282,562
Sim Bhullar,1.0,2015 - 2015,C,3,3,1,2,50.0,0,0,,1,2,50.0,50.0,0,0,,0,1,1,1,0,1,0,0,2
Sindarius Thornwell,2.0,2018 - 2019,SG,137,1469,117,282,41.48936170212766,26,76,34.21052631578947,91,206,44.1747572815534,46.09929078014184,84,122,68.85245901639344,38,146,184,86,62,32,73,166,344
Skal Labissiere,3.0,2017 - 2019,PF,115,2028,348,725,48.0,27,72,37.5,321,653,49.15773353751914,49.862068965517246,156,209,74.64114832535886,159,334,493,110,46,68,121,225,879
Skeeter Henry,1.0,1994 - 1994,SG,7,31,2,11,18.181818181818183,0,4,0.0,2,7,28.57142857142857,18.181818181818183,2,4,50.0,1,4,5,7,0,0,2,2,6
Slavko Vranes,1.0,2004 - 2004,C,1,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,0
Sleepy Floyd,13.0,1983 - 1995,PG,993,27421,4619,10389,44.4604870536144,547,1669,32.774116237267826,4072,8720,46.69724770642202,47.093079218404085,2942,3611,81.4732761008031,649,1922,2571,5394,1163,220,2343,2030,12727
Smush Parker,5.0,2003 - 2008,PG,286,7386,934,2214,42.18608852755194,294,870,33.793103448275865,640,1344,47.61904761904761,48.8256549232159,378,528,71.5909090909091,132,555,687,805,354,46,511,638,2540
Solomon Alabi,2.0,2011 - 2012,C,26,181,16,51,31.372549019607842,0,0,,16,51,31.372549019607842,31.372549019607842,7,10,70.0,22,39,61,5,4,11,8,16,39
Solomon Hill,6.0,2014 - 2019,SF,322,7225,646,1635,39.510703363914374,246,732,33.60655737704918,400,903,44.29678848283499,47.03363914373089,354,434,81.5668202764977,223,819,1042,486,213,75,292,585,1892
Solomon Jones,8.0,2007 - 2014,PF,297,3198,309,667,46.326836581709145,1,9,11.11111111111111,308,658,46.808510638297875,46.40179910044978,238,333,71.47147147147147,270,408,678,102,60,157,162,566,857
Sonny Weems,4.0,2009 - 2016,SG,183,3335,514,1106,46.473779385171795,34,120,28.333333333333332,480,986,48.6815415821501,48.01084990958409,127,181,70.1657458563536,88,314,402,257,84,28,198,268,1189
Soumaila Samake,2.0,2001 - 2003,C,47,303,28,72,38.88888888888889,0,0,,28,72,38.88888888888889,38.88888888888889,12,26,46.15384615384615,32,44,76,5,2,19,6,36,68
Speedy Claxton,7.0,2002 - 2009,PG,364,8926,1176,2870,40.97560975609756,42,219,19.17808219178082,1134,2651,42.776310826103355,41.70731707317073,839,1103,76.06527651858568,202,674,876,1500,524,45,607,873,3233
Spencer Dinwiddie,5.0,2015 - 2019,PG,254,6170,895,2192,40.83029197080292,316,979,32.27783452502553,579,1213,47.73289365210223,48.03832116788321,681,850,80.11764705882352,101,553,654,1147,174,69,386,565,2787
