College,Total Players,Total Prized Players,Year/PLR,Total Awards,ScaledRating,College Grade
Murray State University,6,0,5.0,0.0,0.0,6.0
Pennsylvania State University,5,0,5.8,0.0,0.0,5.8
University of Arkansas at Little Rock,4,0,7.25,0.0,0.0,5.8
Davidson College,2,1,6.5,14.0,3.92,5.736000000000001
Western Kentucky University,6,0,4.666666666666667,0.0,0.0,5.6
Southern Methodist University,8,0,3.5,0.0,0.0,5.6
Tulane University,6,0,4.333333333333333,0.0,0.0,5.2
Weber State University,4,1,4.25,9.0,2.22,5.176
University of South Carolina,9,0,2.7777777777777777,0.0,0.0,5.0
University of Massachusetts Amherst,4,1,5.5,5.0,0.68,4.944
Tennessee State University,4,2,5.25,5.0,0.45,4.92
George Washington University,7,0,3.4285714285714284,0.0,0.0,4.8
University of South Florida,5,0,4.8,0.0,0.0,4.8
Virginia Commonwealth University,6,0,4.0,0.0,0.0,4.8
University of Dayton,7,0,3.4285714285714284,0.0,0.0,4.8
Rutgers University,4,0,6.0,0.0,0.0,4.8
Southeastern Oklahoma State University,1,1,14.0,14.0,2.4,4.72
Saint Louis University,4,1,5.75,1.0,0.12,4.696000000000001
Trinity Valley Community College,1,1,14.0,9.0,2.28,4.624
University of Detroit Mercy,4,0,5.75,0.0,0.0,4.6
Jacksonville University,4,0,5.5,0.0,0.0,4.4
Texas Christian University,4,0,5.5,0.0,0.0,4.4
Northeastern University,3,1,7.0,1.0,0.24,4.3919999999999995
University of Richmond,3,0,7.0,0.0,0.0,4.2
Bowling Green State University,3,0,7.0,0.0,0.0,4.2
New Mexico State University,5,0,4.0,0.0,0.0,4.0
University of New Orleans,2,0,10.0,0.0,0.0,4.0
"Alcorn State University, Jackson State University",2,0,10.0,0.0,0.0,4.0
Hampton University,2,1,9.5,1.0,0.12,3.8960000000000004
University of Hartford,1,1,13.0,6.0,1.52,3.8160000000000003
University of Southern Mississippi,3,0,6.333333333333333,0.0,0.0,3.8
Saint Mary's College of California,4,0,4.75,0.0,0.0,3.8
University of Tennessee at Chattanooga,3,0,6.333333333333333,0.0,0.0,3.8
University of Wisconsin-Stevens Point,1,1,17.0,2.0,0.48,3.784
University of Louisiana at Lafayette,4,1,4.25,2.0,0.48,3.784
"Midland College, University of Oklahoma",3,1,5.0,7.0,0.96,3.7680000000000002
"University of California, Irvine",4,0,4.5,0.0,0.0,3.6
University of Mississippi,5,0,3.6,0.0,0.0,3.6
Ohio University,5,0,3.6,0.0,0.0,3.6
Butler University,2,1,8.5,1.0,0.24,3.592
Longwood University,1,0,17.0,0.0,0.0,3.4
Yale University,2,0,8.5,0.0,0.0,3.4
Colorado State University,4,0,4.25,0.0,0.0,3.4
College of Charleston,3,0,5.666666666666667,0.0,0.0,3.4
"Butler County Community College, Oklahoma State University",1,1,14.0,6.0,0.72,3.3760000000000003
Duquesne University,3,0,5.333333333333333,0.0,0.0,3.2
Boise State University,5,0,3.2,0.0,0.0,3.2
Alcorn State University,2,0,8.0,0.0,0.0,3.2
University of South Alabama,4,0,4.0,0.0,0.0,3.2
"Cameron University, Southern University and A&M College",1,0,16.0,0.0,0.0,3.2
Iona College,3,1,4.666666666666667,2.0,0.48,3.1839999999999997
Fayetteville State University,1,1,14.0,3.0,0.3,3.04
Blinn College,1,0,15.0,0.0,0.0,3.0
Georgia Southern University,2,0,7.5,0.0,0.0,3.0
"University of Notre Dame, University of Arkansas",1,0,15.0,0.0,0.0,3.0
Albany State University,1,0,15.0,0.0,0.0,3.0
Cleveland State University,3,0,5.0,0.0,0.0,3.0
"South Plains College, University of Houston",1,0,15.0,0.0,0.0,3.0
University of Hawaii,2,0,7.5,0.0,0.0,3.0
Eastern Illinois University,2,1,6.0,3.0,0.56,2.8480000000000003
Texas State University,2,0,7.0,0.0,0.0,2.8
Butler County Community College,1,0,14.0,0.0,0.0,2.8
Drexel University,2,0,7.0,0.0,0.0,2.8
"University of the Pacific, Georgia Institute of Technology",1,0,14.0,0.0,0.0,2.8
Western Carolina University,2,0,7.0,0.0,0.0,2.8
West Virginia University Institute of Technology,1,0,14.0,0.0,0.0,2.8
"Saint Mary's College of California, University of California, Santa Barbara",1,0,14.0,0.0,0.0,2.8
"University of California, Santa Barbara",4,0,3.5,0.0,0.0,2.8
"Trinity Valley Community College, University of Cincinnati",1,1,13.0,1.0,0.24,2.792
University of San Francisco,2,0,6.5,0.0,0.0,2.6
"University of California, Los Angeles, University of Texas at El Paso",1,0,13.0,0.0,0.0,2.6
"Rutgers University, Duke University",1,0,13.0,0.0,0.0,2.6
Mercer University,1,0,13.0,0.0,0.0,2.6
"Boston University, Florida International University",1,1,12.0,2.0,0.24,2.592
Marist College,1,1,12.0,1.0,0.24,2.592
University of Montana,3,0,4.0,0.0,0.0,2.4
"University of Central Florida, Oklahoma State University",2,0,6.0,0.0,0.0,2.4
Ball State University,2,0,6.0,0.0,0.0,2.4
"Robert Morris University (PA), University of Detroit Mercy",1,0,12.0,0.0,0.0,2.4
"Midland College, North Carolina State University",1,0,12.0,0.0,0.0,2.4
Wright State University,2,0,6.0,0.0,0.0,2.4
"Marshall University, University of Florida",1,0,12.0,0.0,0.0,2.4
Colgate University,1,0,12.0,0.0,0.0,2.4
University of the Pacific,2,0,6.0,0.0,0.0,2.4
"University of Houston, New Mexico State University",1,0,12.0,0.0,0.0,2.4
"Nicholls State University, Utah Valley State College",1,0,12.0,0.0,0.0,2.4
"Bradley University, University of New Mexico",1,1,10.0,2.0,0.32,2.256
Augsburg College,1,0,11.0,0.0,0.0,2.2
"University of Portland, University of Nevada, Las Vegas",1,0,11.0,0.0,0.0,2.2
"University of Colorado, University of Iowa",1,0,11.0,0.0,0.0,2.2
St. Bonaventure University,6,0,1.8333333333333333,0.0,0.0,2.2
"University of Missouri, Southern Illinois University",1,0,11.0,0.0,0.0,2.2
"Ohio State University, University of Kentucky",1,0,11.0,0.0,0.0,2.2
"Clemson University, University of Oklahoma",1,0,11.0,0.0,0.0,2.2
Indiana University-Purdue University Indianapolis,1,0,11.0,0.0,0.0,2.2
American International College,1,0,11.0,0.0,0.0,2.2
Eastern Washington University,2,0,5.5,0.0,0.0,2.2
Oral Roberts University,3,0,3.6666666666666665,0.0,0.0,2.2
Marshall University,2,1,5.0,1.0,0.12,2.096
University of Bridgeport,1,1,10.0,1.0,0.12,2.096
"University of South Alabama, Iowa State University",1,0,10.0,0.0,0.0,2.0
"Vanderbilt University, University of Missouri",1,0,10.0,0.0,0.0,2.0
"Texas Christian University, University of California, Irvine",1,0,10.0,0.0,0.0,2.0
"University of Kentucky, University of Arizona",1,0,10.0,0.0,0.0,2.0
Missouri State University,2,0,5.0,0.0,0.0,2.0
University of Portland,3,0,3.3333333333333335,0.0,0.0,2.0
University of Texas at San Antonio,2,0,5.0,0.0,0.0,2.0
Seattle University,1,0,10.0,0.0,0.0,2.0
East Carolina University,1,0,10.0,0.0,0.0,2.0
Hofstra University,3,0,3.3333333333333335,0.0,0.0,2.0
Austin Peay State University,2,0,5.0,0.0,0.0,2.0
"Wichita State University, University of Kansas",1,0,10.0,0.0,0.0,2.0
University of North Carolina at Charlotte,6,0,1.6666666666666667,0.0,0.0,2.0
