College,Total Players,Total Prized Players,Year/PLR,Total Awards,ScaledRating,College Grade
"University of Minnesota, University of Texas at El Paso",1,0,2.0,0.0,0.0,0.4
"University of Kansas, University of New Mexico",1,0,2.0,0.0,0.0,0.4
University of Evansville,1,0,2.0,0.0,0.0,0.4
West Virginia Wesleyan College,1,0,2.0,0.0,0.0,0.4
Princeton University,1,0,2.0,0.0,0.0,0.4
Southeastern Illinois College,1,0,2.0,0.0,0.0,0.4
Kentucky Wesleyan College,1,0,2.0,0.0,0.0,0.4
"Boston College, University of Wisconsin",1,0,2.0,0.0,0.0,0.4
"University of Hawaii, St. John's University",1,0,2.0,0.0,0.0,0.4
"Stanford University, University of California, Irvine",1,0,2.0,0.0,0.0,0.4
"University of Tulsa, Southern Methodist University",1,0,2.0,0.0,0.0,0.4
"University of Minnesota, South Dakota State University",1,0,2.0,0.0,0.0,0.4
"Wichita State University, California State University, Fullerton",1,0,2.0,0.0,0.0,0.4
"Indiana University, University of Houston",1,0,2.0,0.0,0.0,0.4
"Auburn University, University of South Carolina",1,0,2.0,0.0,0.0,0.4
University of Minnesota Duluth,1,0,2.0,0.0,0.0,0.4
"Creighton University, University of Colorado",1,0,2.0,0.0,0.0,0.4
University of Northern Colorado,1,0,2.0,0.0,0.0,0.4
University of the District of Columbia,1,0,2.0,0.0,0.0,0.4
"University of Oregon, California State University, San Bernardino",1,0,2.0,0.0,0.0,0.4
"University of Oregon, Eastern Michigan University",1,0,2.0,0.0,0.0,0.4
Grand Canyon University,1,0,2.0,0.0,0.0,0.4
"University of San Francisco, Washington State University",1,0,2.0,0.0,0.0,0.4
Midwestern State University,1,0,1.0,0.0,0.0,0.2
"University of Nevada, Las Vegas, California State University, Bakersfield",1,0,1.0,0.0,0.0,0.2
Jacksonville State University,1,0,1.0,0.0,0.0,0.2
"University of Missouri, University of Detroit Mercy",1,0,1.0,0.0,0.0,0.2
Slippery Rock University of Pennsylvania,1,0,1.0,0.0,0.0,0.2
"Duke University, Syracuse University",1,0,1.0,0.0,0.0,0.2
Lincoln Memorial University,1,0,1.0,0.0,0.0,0.2
"St. John's University, Cleveland State University",1,0,1.0,0.0,0.0,0.2
"University of Southern California, University of Nevada, Las Vegas, Iowa State University",1,0,1.0,0.0,0.0,0.2
University of Maine,1,0,1.0,0.0,0.0,0.2
Thomas More College,1,0,1.0,0.0,0.0,0.2
"Texas Tech University, University of Arkansas",1,0,1.0,0.0,0.0,0.2
Tuskegee University,1,0,1.0,0.0,0.0,0.2
"Mississippi State University, University of Alabama at Birmingham",1,0,1.0,0.0,0.0,0.2
"University of Missouri, Gonzaga University",1,0,1.0,0.0,0.0,0.2
"University of Nevada, Las Vegas, Pepperdine University",1,0,1.0,0.0,0.0,0.2
"University of Kentucky, Florida State University",1,0,1.0,0.0,0.0,0.2
"Williams College, University of Michigan",1,0,1.0,0.0,0.0,0.2
"University of Massachusetts Amherst, Fairfield University",1,0,1.0,0.0,0.0,0.2
"Seattle Pacific University, University of Washington",1,0,1.0,0.0,0.0,0.2
Cornell University,1,0,1.0,0.0,0.0,0.2
"University of Oregon, Marquette University",1,0,1.0,0.0,0.0,0.2
"University of Louisville, University of Texas at El Paso",1,0,1.0,0.0,0.0,0.2
"McNeese State University, Northwestern State University",1,0,1.0,0.0,0.0,0.2
"University of Alabama at Birmingham, University of Hawaii",1,0,1.0,0.0,0.0,0.2
"University of Memphis, Delta State University",1,0,1.0,0.0,0.0,0.2
"Oregon State University, San Jose State University",1,0,1.0,0.0,0.0,0.2
Indian Hills Community College,1,0,1.0,0.0,0.0,0.2
"Utah Valley State College, University of New Orleans",1,0,1.0,0.0,0.0,0.2
"University of Alabama, University of Alabama at Birmingham",1,0,1.0,0.0,0.0,0.2
"University of Michigan, Boston College",1,0,1.0,0.0,0.0,0.2
"Pennsylvania State University, Iowa State University",1,0,1.0,0.0,0.0,0.2
"Furman University, University of Indianapolis",1,0,1.0,0.0,0.0,0.2
Wheeling Jesuit University,1,0,1.0,0.0,0.0,0.2
"Northwestern University, University of California",1,0,1.0,0.0,0.0,0.2
Loyola College in Maryland,1,0,1.0,0.0,0.0,0.2
University of Illinois at Chicago,1,0,1.0,0.0,0.0,0.2
College of Saint Rose,1,0,1.0,0.0,0.0,0.2
University of Tampa,1,0,1.0,0.0,0.0,0.2
"University of California, Los Angeles, University of New Mexico",1,0,1.0,0.0,0.0,0.2
Augustana College (SD),1,0,1.0,0.0,0.0,0.2
"University of Virginia, Vanderbilt University",1,0,1.0,0.0,0.0,0.2
University of Texas-Pan American,1,0,1.0,0.0,0.0,0.2
"Indiana University, Georgetown University",1,0,1.0,0.0,0.0,0.2
"Louisiana State University, San Diego State University",1,0,1.0,0.0,0.0,0.2
"Georgetown University, Towson University",1,0,1.0,0.0,0.0,0.2
University of North Texas,1,0,1.0,0.0,0.0,0.2
Alabama - Huntsville,1,0,1.0,0.0,0.0,0.2
"Mississippi State University, University of Idaho",1,0,1.0,0.0,0.0,0.2
"Vanderbilt University, University of Arkansas at Little Rock",1,0,1.0,0.0,0.0,0.2
"University of Minnesota, University of Central Florida",1,0,1.0,0.0,0.0,0.2
"Arkansas State University, University of Mississippi",1,0,1.0,0.0,0.0,0.2
Alabama A&M University,1,0,1.0,0.0,0.0,0.2
"University of Oregon, University of Missouri",1,0,1.0,0.0,0.0,0.2
"Seward County Community College, Oklahoma State University",1,0,1.0,0.0,0.0,0.2
"University of Montana, East Texas State University",1,0,1.0,0.0,0.0,0.2
"University of Michigan, University of North Carolina",1,0,1.0,0.0,0.0,0.2
"Manhattan College, University of Louisville",1,0,1.0,0.0,0.0,0.2
"University of Notre Dame, St. John's University",1,0,1.0,0.0,0.0,0.2
"Georgetown University, Wake Forest University",1,0,1.0,0.0,0.0,0.2
"University of Central Florida, Florida Gulf Coast University",1,0,1.0,0.0,0.0,0.2
Monmouth University,1,0,1.0,0.0,0.0,0.2
"Indiana University, University of Kansas",1,0,1.0,0.0,0.0,0.2
"University of Utah, Weber State University",1,0,1.0,0.0,0.0,0.2
"University of Louisville, Austin Peay State University",1,0,1.0,0.0,0.0,0.2
"University of Nebraska, Syracuse University",1,0,1.0,0.0,0.0,0.2
"Loyola Marymount University, University of California, Los Angeles",1,0,1.0,0.0,0.0,0.2
"University of Florida, University of South Florida",1,0,1.0,0.0,0.0,0.2
"Mississippi State University, University of Notre Dame",1,0,1.0,0.0,0.0,0.2
"Marquette University, Iowa State University",1,0,1.0,0.0,0.0,0.2
Southeast Missouri State University,1,0,1.0,0.0,0.0,0.2
"DePaul University, University of Texas at Austin",1,0,1.0,0.0,0.0,0.2
College of William & Mary,1,0,1.0,0.0,0.0,0.2
"Florida State University, East Carolina University",1,0,1.0,0.0,0.0,0.2
"Baylor University, University of Nebraska",1,0,1.0,0.0,0.0,0.2
"California State University, Fresno, San Diego State University",1,0,1.0,0.0,0.0,0.2
"Georgetown University, University of Florida",1,0,1.0,0.0,0.0,0.2
"University of New Mexico, California State University, Long Beach",1,0,1.0,0.0,0.0,0.2
St. Thomas University,1,0,1.0,0.0,0.0,0.2
"Barton County Community College, University of Cincinnati, Walsh University",1,0,1.0,0.0,0.0,0.2
Niagara University,1,0,1.0,0.0,0.0,0.2
"Western Kentucky University, Towson University",1,0,1.0,0.0,0.0,0.2
Lebanon Valley College,1,0,1.0,0.0,0.0,0.2
"University of New Mexico, University of San Francisco",1,0,1.0,0.0,0.0,0.2
Utah State University,1,0,1.0,0.0,0.0,0.2
"Midland College, University of North Dakota",1,0,1.0,0.0,0.0,0.2
University of Montevallo,1,0,1.0,0.0,0.0,0.2
"Salem International University, West Virginia State University",1,0,1.0,0.0,0.0,0.2
"South Plains College, California State University, Fresno",1,0,1.0,0.0,0.0,0.2
Augusta State University,1,0,1.0,0.0,0.0,0.2
Stony Brook University,1,0,1.0,0.0,0.0,0.2
"Seton Hall University, University of Houston",1,0,1.0,0.0,0.0,0.2
"DePaul University, University of Louisiana at Monroe",1,0,1.0,0.0,0.0,0.2
"University of Cincinnati, Bradley University",1,0,1.0,0.0,0.0,0.2
"University of Southern California, Michigan State University",1,0,1.0,0.0,0.0,0.2
"Washington State University, California State University, Fullerton",1,0,1.0,0.0,0.0,0.2
"Oklahoma City University, University of Kansas",1,0,1.0,0.0,0.0,0.2
State University of New York at Potsdam,1,0,1.0,0.0,0.0,0.2
"University of North Carolina, University of Southern California",1,0,1.0,0.0,0.0,0.2
Fairfield University,1,0,1.0,0.0,0.0,0.2
"West Texas A&M University, Auburn University at Montgomery",1,0,1.0,0.0,0.0,0.2
"North Carolina State University, Auburn University",1,0,1.0,0.0,0.0,0.2
"Hill College, New Mexico State University",1,0,1.0,0.0,0.0,0.2
"Tulane University, University of Texas at Austin",1,0,1.0,0.0,0.0,0.2
Siena College,1,0,1.0,0.0,0.0,0.2
"Wichita State University, Butler County Community College, Kansas State University, Northwestern Oklahoma State University",1,0,1.0,0.0,0.0,0.2
Missouri State,1,0,1.0,0.0,0.0,0.2
"University of California, San Diego State University",1,0,1.0,0.0,0.0,0.2
"Rutgers University, Manhattan College",1,0,1.0,0.0,0.0,0.2
North Carolina Agricultural and Technical State University,1,0,1.0,0.0,0.0,0.2
"Syracuse University, La Salle University",1,0,1.0,0.0,0.0,0.2
"University of California, Los Angeles, University of Nevada, Las Vegas",1,0,1.0,0.0,0.0,0.2
"Utah Valley State College, Brigham Young University",1,0,1.0,0.0,0.0,0.2
"United States Naval Academy, University of Pittsburgh",1,0,1.0,0.0,0.0,0.2
"University of Rhode Island, University of North Carolina at Charlotte",1,0,1.0,0.0,0.0,0.2
"Georgetown University, Phillips University",1,0,1.0,0.0,0.0,0.2
"Northeast Mississippi Community College, Mississippi State University",1,0,1.0,0.0,0.0,0.2
"Ohio State University, University of Dayton",1,0,1.0,0.0,0.0,0.2
"University of New Orleans, Iowa State University",1,0,1.0,0.0,0.0,0.2
"University of Kentucky, University of Connecticut",1,0,1.0,0.0,0.0,0.2
Brigham Young University Hawaii,1,0,1.0,0.0,0.0,0.2
"Villanova University, University of San Francisco",1,0,1.0,0.0,0.0,0.2
