ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
wileymi01,1981,Michael Wiley,PF,23,SAS,3,,5,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,0,0,0,0,0,0,2,2
wilkebo01,1981,Bob Wilkerson,SG,26,CHI,6,,152,25,59,.424,0,1,.000,25,58,.431,.424,5,5,1.000,6,10,16,14,5,1,11,13,55
wilkeja01,1981,Jamaal Wilkes,SF,27,LAL,3,,113,21,48,.438,0,1,.000,21,47,.447,.438,12,18,.667,4,4,8,4,1,1,4,10,54
wilkeja02,1981,James Wilkes,SF,22,CHI,2,,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,1,0,2,0,0
willira01,1981,Ray Williams,PG,26,NYK,2,,84,18,41,.439,1,3,.333,17,38,.447,.451,6,11,.545,3,5,8,9,4,0,9,10,43
willisl01,1981,Sly Williams,PF,23,NYK,2,,56,13,18,.722,0,0,,13,18,.722,.722,0,0,,4,5,9,5,3,0,3,7,26
willobi01,1981,Bill Willoughby,SF,23,HOU,19,,417,42,116,.362,0,1,.000,42,115,.365,.362,30,40,.750,28,57,85,22,14,19,23,42,114
wintebr01,1981,Brian Winters,SG,28,MIL,7,,181,28,61,.459,2,6,.333,26,55,.473,.475,12,16,.750,4,19,23,22,10,1,12,22,70
woodsmi01,1981,Mike Woodson,SG,22,NYK,2,,8,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,2,0,2,0,0,0,0,3,4
worthsa01,1981,Sam Worthen,PG,23,CHI,1,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
abdulka01,1982,Kareem Abdul-Jabbar,C,34,LAL,14,,493,115,221,.520,0,0,,115,221,.520,.520,55,87,.632,33,86,119,51,14,45,41,45,285
adamsal01,1982,Alvan Adams,C,27,PHO,7,,233,48,92,.522,0,0,,48,92,.522,.522,22,28,.786,19,32,51,26,14,10,21,22,118
aingeda01,1982,Danny Ainge,SG,22,BOS,10,,129,19,45,.422,2,4,.500,17,41,.415,.444,10,13,.769,6,7,13,11,2,1,11,21,50
architi01,1982,Tiny Archibald,PG,33,BOS,8,,277,30,70,.429,0,4,.000,30,66,.455,.429,25,28,.893,1,16,17,52,5,2,23,21,85
baileja01,1982,James Bailey,PF,24,NJN,2,,26,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,2,4,6,1,2,1,3,5,4
ballagr01,1982,Greg Ballard,SF,27,WSB,7,,268,36,100,.360,0,0,,36,100,.360,.360,21,25,.840,22,41,63,22,14,3,12,20,93
banksge01,1982,Gene Banks,SF,22,SAS,9,,146,30,65,.462,0,1,.000,30,64,.469,.462,4,10,.400,21,22,43,9,4,3,6,12,64
bantomi01,1982,Mike Bantom,SF,30,PHI,21,,399,36,91,.396,0,0,,36,91,.396,.396,19,42,.452,39,38,77,24,15,9,24,60,91
birdla01,1982,Larry Bird,PF,25,BOS,12,,490,88,206,.427,1,6,.167,87,200,.435,.430,37,45,.822,33,117,150,67,23,17,38,43,214
bradlch01,1982,Charles Bradley,SG,22,BOS,7,,18,2,8,.250,0,0,,2,8,.250,.250,0,2,.000,1,4,5,1,1,0,4,6,4
bradldu01,1982,Dudley Bradley,SG,24,PHO,7,,24,2,8,.250,0,0,,2,8,.250,.250,1,1,1.000,0,1,1,5,1,1,5,3,5
bratzmi01,1982,Mike Bratz,PG,26,SAS,9,,180,15,52,.288,5,18,.278,10,34,.294,.337,8,10,.800,2,12,14,48,9,0,12,20,43
breweji01,1982,Jim Brewer,PF,30,LAL,8,,57,3,6,.500,0,0,,3,6,.500,.500,0,0,,4,7,11,4,2,6,4,5,6
brownfr01,1982,Fred Brown,SG,33,SEA,8,,158,43,89,.483,2,5,.400,41,84,.488,.494,7,10,.700,6,9,15,18,5,0,9,5,95
carrml01,1982,M.L. Carr,SF,31,BOS,12,,305,37,105,.352,0,4,.000,37,101,.366,.352,15,23,.652,21,22,43,28,11,0,21,30,89
catchha01,1982,Harvey Catchings,PF,30,MIL,6,,26,2,3,.667,0,0,,2,3,.667,.667,0,0,,3,4,7,0,0,3,3,9,4
cheekma01,1982,Maurice Cheeks,PG,25,PHI,21,,765,125,265,.472,1,9,.111,124,256,.484,.474,50,65,.769,15,47,62,172,48,6,49,58,301
choneji01,1982,Jim Chones,C,32,WSB,5,,30,2,9,.222,0,0,,2,9,.222,.222,1,3,.333,1,5,6,2,1,2,1,8,5
collido02,1982,Don Collins,SG,23,WSB,7,,149,19,44,.432,0,0,,19,44,.432,.432,5,7,.714,9,13,22,6,4,1,11,25,43
cookda01,1982,Darwin Cook,PG,23,NJN,2,,86,13,33,.394,0,3,.000,13,30,.433,.394,2,6,.333,0,3,3,9,2,2,9,7,28
cookje01,1982,Jeff Cook,PF,25,PHO,7,,45,4,8,.500,0,0,,4,8,.500,.500,0,0,,6,3,9,7,2,2,2,5,8
coopemi01,1982,Michael Cooper,SG,25,LAL,14,,383,70,124,.565,1,2,.500,69,122,.566,.569,25,34,.735,19,42,61,62,24,11,29,47,166
corzida01,1982,Dave Corzine,C,25,SAS,9,,258,49,106,.462,0,0,,49,106,.462,.462,24,34,.706,38,47,85,17,6,9,20,30,122
cummipa01,1982,Pat Cummings,PF,25,MIL,6,,44,4,11,.364,0,0,,4,11,.364,.364,1,2,.500,3,8,11,2,0,2,4,7,9
curetea01,1982,Earl Cureton,PF,24,PHI,12,,75,13,41,.317,0,1,.000,13,40,.325,.317,6,9,.667,12,14,26,2,1,1,5,12,32
davisch02,1982,Charles Davis,SF,23,WSB,6,,52,7,17,.412,0,1,.000,7,16,.438,.412,2,2,1.000,1,4,5,3,1,1,7,6,16
daviswa03,1982,Walter Davis,SF,27,PHO,7,,173,52,116,.448,1,3,.333,51,113,.451,.453,22,24,.917,5,17,22,30,5,1,12,19,127
dawkida01,1982,Darryl Dawkins,C,25,PHI,21,,460,99,178,.556,0,0,,99,178,.556,.556,33,50,.660,23,75,98,11,7,35,38,94,231
donalja01,1982,James Donaldson,C,24,SEA,8,,189,18,43,.419,0,0,,18,43,.419,.419,18,24,.750,25,49,74,7,2,5,10,16,54
