ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
dudlech02,1989,Chris Dudley,C,23,CLE,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,1,0
dumarjo01,1989,Joe Dumars,SG,25,DET,17,17,620,106,233,.455,1,12,.083,105,221,.475,.457,87,101,.861,11,33,44,96,12,1,31,31,300
dunntr01,1989,T.R. Dunn,SG,33,PHO,8,0,79,3,7,.429,0,0,,3,7,.429,.429,1,2,.500,7,8,15,1,5,0,2,11,7
eatonma01,1989,Mark Eaton,C,32,UTA,3,3,99,8,17,.471,0,0,,8,17,.471,.471,9,11,.818,11,22,33,1,1,2,7,6,25
edwarja01,1989,James Edwards,C,33,DET,17,0,317,40,85,.471,0,1,.000,40,84,.476,.471,40,51,.784,11,25,36,12,1,8,15,53,120
ehlocr01,1989,Craig Ehlo,SG,27,CLE,4,1,97,17,39,.436,5,13,.385,12,26,.462,.500,9,11,.818,2,4,6,13,3,1,5,10,48
ellisda01,1989,Dale Ellis,SG,28,SEA,8,8,304,72,160,.450,15,37,.405,57,123,.463,.497,24,33,.727,14,18,32,10,11,1,21,19,183
englial01,1989,Alex English,SF,35,DEN,3,3,108,32,62,.516,0,0,,32,62,.516,.516,14,16,.875,8,5,13,11,1,0,14,6,78
ewingpa01,1989,Patrick Ewing,C,26,NYK,9,9,340,70,144,.486,0,0,,70,144,.486,.486,39,52,.750,23,67,90,20,9,18,15,35,179
farmeji01,1989,Jim Farmer,SG,24,UTA,2,0,3,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
floydsl01,1989,Sleepy Floyd,PG,28,HOU,4,4,160,22,46,.478,8,15,.533,14,31,.452,.565,10,14,.714,3,15,18,26,8,1,10,10,62
gamblke01,1989,Kevin Gamble,SF,23,BOS,1,1,29,4,11,.364,0,1,.000,4,10,.400,.364,0,2,.000,1,0,1,2,1,0,0,1,8
garlawi01,1989,Winston Garland,PG,24,GSW,8,8,270,41,98,.418,1,3,.333,40,95,.421,.423,24,28,.857,14,19,33,29,13,2,15,31,107
gilliar01,1989,Armen Gilliam,PF,24,PHO,9,0,126,27,51,.529,0,0,,27,51,.529,.529,19,22,.864,18,27,45,2,1,2,10,11,73
gminsmi01,1989,Mike Gminski,C,29,PHI,3,3,118,19,48,.396,0,0,,19,48,.396,.396,11,16,.688,6,17,23,2,0,8,2,8,49
grahaor01,1989,Orlando Graham,PF,23,GSW,2,0,8,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,0,1,1,0,0,0,1,0,3
grantho01,1989,Horace Grant,PF,23,CHI,17,17,625,72,139,.518,0,0,,72,139,.518,.518,40,50,.800,53,114,167,35,11,16,31,68,184
greenac01,1989,A.C. Green,PF,25,LAL,15,15,502,47,114,.412,0,3,.000,47,111,.423,.412,58,76,.763,38,99,137,18,16,6,23,37,152
greenri01,1989,Rickey Green,PG,34,MIL,8,0,110,12,29,.414,1,2,.500,11,27,.407,.431,4,4,1.000,3,10,13,18,5,0,4,9,29
greensi02,1989,Sidney Green,PF,28,NYK,9,0,128,13,30,.433,0,0,,13,30,.433,.433,10,14,.714,14,22,36,5,2,1,7,23,36
greenda01,1989,Dave Greenwood,PF,31,DEN,3,0,34,2,6,.333,0,0,,2,6,.333,.333,1,2,.500,2,9,11,1,1,1,6,7,5
griffda01,1989,Darrell Griffith,SG,30,UTA,3,0,71,20,49,.408,6,19,.316,14,30,.467,.469,0,0,,3,9,12,0,4,1,5,7,46
haleyja01,1989,Jack Haley,PF,25,CHI,5,0,7,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,0,1,1,1,0,0,0,2,5
hansebo01,1989,Bob Hansen,SG,28,UTA,3,3,123,11,35,.314,3,9,.333,8,26,.308,.357,8,10,.800,5,12,17,4,1,2,6,15,33
hanzlbi01,1989,Bill Hanzlik,PF,31,DEN,3,3,106,14,33,.424,3,6,.500,11,27,.407,.470,7,12,.583,6,14,20,9,5,1,2,13,38
harpero01,1989,Ron Harper,SG,25,CLE,5,5,189,39,69,.565,0,2,.000,39,67,.582,.565,20,26,.769,7,14,21,20,11,4,7,20,98
hawkihe01,1989,Hersey Hawkins,SG,22,PHI,3,3,72,3,24,.125,0,5,.000,3,19,.158,.125,2,2,1.000,1,4,5,4,3,1,3,6,8
hendege01,1989,Gerald Henderson,PG,33,PHI,3,0,69,10,25,.400,2,7,.286,8,18,.444,.440,2,6,.333,3,4,7,5,2,0,5,10,24
higgiro01,1989,Rod Higgins,PF,29,GSW,8,7,267,40,82,.488,10,35,.286,30,47,.638,.549,29,34,.853,23,36,59,20,13,7,11,19,119
hodgecr01,1989,Craig Hodges,SG,28,CHI,17,17,554,73,177,.412,35,88,.398,38,89,.427,.511,10,14,.714,8,17,25,62,22,3,24,55,191
hornaje01,1989,Jeff Hornacek,SG,25,PHO,12,12,374,74,149,.497,0,7,.000,74,142,.521,.497,21,25,.840,25,44,69,62,16,3,18,34,169
hubbaph01,1989,Phil Hubbard,SF,32,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
humphja01,1989,Jay Humphries,PG,26,MIL,9,9,323,49,99,.495,3,18,.167,46,81,.568,.510,30,34,.882,8,19,27,70,8,0,12,29,131
iavarma01,1989,Marc Iavaroni,PF,32,UTA,1,0,1,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0
jacksma01,1989,Mark Jackson,PG,23,NYK,9,9,336,51,100,.510,11,28,.393,40,72,.556,.565,19,28,.679,7,24,31,91,10,3,28,9,132
johnsav01,1989,Avery Johnson,PG,23,SEA,6,0,31,5,12,.417,0,4,.000,5,8,.625,.417,1,2,.500,2,2,4,5,4,0,0,1,11
johnsbu01,1989,Buck Johnson,SF,25,HOU,4,4,118,19,40,.475,0,1,.000,19,39,.487,.475,8,14,.571,7,8,15,13,3,2,6,15,46
johnsde01,1989,Dennis Johnson,PG,34,BOS,3,1,59,4,15,.267,0,0,,4,15,.267,.267,0,0,,2,2,4,9,3,0,3,8,8
johnsed03,1989,Eddie Johnson,SF,29,PHO,12,0,392,85,206,.413,13,38,.342,72,168,.429,.444,30,39,.769,28,59,87,25,12,2,18,41,213
johnsfr01,1989,Frank Johnson,PG,30,HOU,4,0,36,2,6,.333,0,1,.000,2,5,.400,.333,6,10,.600,1,4,5,7,1,0,4,3,10
johnske02,1989,Kevin Johnson,PG,22,PHO,12,12,494,90,182,.495,3,10,.300,87,172,.506,.503,102,110,.927,12,39,51,147,19,5,55,28,285
johnsma02,1989,Magic Johnson,PG,29,LAL,14,14,518,85,174,.489,10,35,.286,75,139,.540,.517,78,86,.907,15,68,83,165,27,3,53,30,258
johnsst03,1989,Steve Johnson,C,31,POR,3,0,34,2,8,.250,0,0,,2,8,.250,.250,3,3,1.000,1,5,6,0,2,0,3,7,7
johnsvi01,1989,Vinnie Johnson,SG,32,DET,17,0,372,91,200,.455,10,24,.417,81,176,.460,.480,47,62,.758,16,29,45,43,4,3,21,32,239
jonesca01,1989,Caldwell Jones,PF,38,POR,3,1,50,2,3,.667,0,0,,2,3,.667,.667,0,0,,2,6,8,0,0,3,3,6,4
jordami01,1989,Michael Jordan,SG,25,CHI,17,17,718,199,390,.510,10,35,.286,189,355,.532,.523,183,229,.799,26,93,119,130,42,13,68,65,591
kerseje01,1989,Jerome Kersey,SF,26,POR,3,3,117,23,47,.489,0,2,.000,23,45,.511,.489,15,19,.789,11,13,24,7,10,1,4,12,61
keysra01,1989,Randolph Keys,SF,22,CLE,1,0,12,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,3,3,1,0,0,2,1,0
kleinjo01,1989,Joe Kleine,C,27,BOS,3,0,65,6,11,.545,0,1,.000,6,10,.600,.545,7,9,.778,4,13,17,2,0,1,6,9,19
koncajo01,1989,Jon Koncak,C,25,ATL,5,5,192,18,29,.621,0,0,,18,29,.621,.621,28,33,.848,16,32,48,4,2,8,8,23,64
krystla01,1989,Larry Krystkowiak,PF,24,MIL,8,8,239,29,68,.426,0,2,.000,29,66,.439,.426,27,31,.871,14,31,45,12,2,1,16,22,85
laimbbi01,1989,Bill Laimbeer,C,31,DET,17,17,497,66,142,.465,15,42,.357,51,100,.510,.518,25,31,.806,26,114,140,31,6,8,19,55,172
lampje01,1989,Jeff Lamp,SF,29,LAL,5,0,14,3,6,.500,0,0,,3,6,.500,.500,1,2,.500,2,1,3,1,0,0,1,3,7
laneje01,1989,Jerome Lane,PF,22,DEN,2,0,21,2,7,.286,0,1,.000,2,6,.333,.286,2,2,1.000,1,5,6,2,0,0,0,4,6
langan01,1989,Andrew Lang,C,22,PHO,4,0,8,0,2,.000,0,0,,0,2,.000,.000,0,0,,3,3,6,1,0,0,3,3,0
leaveal01,1989,Allen Leavell,SG,31,HOU,2,0,5,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,0,0,0,1,0,0,0,0,4
leckner01,1989,Eric Leckner,C,22,UTA,3,0,10,1,4,.250,0,0,,1,4,.250,.250,0,0,,1,1,2,0,0,0,3,2,2
lesji01,1989,Jim Les,PG,25,UTA,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,2,0
leverfa01,1989,Fat Lever,SG,28,DEN,2,2,58,9,24,.375,2,3,.667,7,21,.333,.417,2,2,1.000,2,11,13,19,4,0,6,4,22
levincl01,1989,Cliff Levingston,PF,28,ATL,5,0,77,3,11,.273,1,1,1.000,2,10,.200,.318,9,10,.900,6,11,17,2,0,3,3,15,16
lewisre01,1989,Reggie Lewis,SF,23,BOS,3,3,125,26,55,.473,0,2,.000,26,53,.491,.473,9,13,.692,5,16,21,11,5,0,8,11,61
listeal01,1989,Alton Lister,C,30,SEA,8,8,160,17,39,.436,0,0,,17,39,.436,.436,22,26,.846,13,25,38,2,2,21,9,28,56
longjo01,1989,John Long,SG,32,DET,4,0,8,1,1,1.000,0,0,,1,1,1.000,1.000,3,3,1.000,0,0,0,0,0,0,0,0,5
lucasjo01,1989,John Lucas,PG,35,SEA,4,0,37,5,17,.294,0,3,.000,5,14,.357,.294,1,2,.500,0,1,1,8,0,0,2,5,11
mahorri01,1989,Rick Mahorn,PF,30,DET,17,17,360,40,69,.580,0,0,,40,69,.580,.580,17,26,.654,30,57,87,7,9,13,11,59,97
majerda01,1989,Dan Majerle,SG,23,PHO,12,0,352,63,144,.438,8,28,.286,55,116,.474,.465,38,48,.792,22,35,57,14,13,4,15,28,172
malonka01,1989,Karl Malone,PF,25,UTA,3,3,136,33,66,.500,0,0,,33,66,.500,.500,26,32,.813,22,27,49,4,3,1,13,16,92
malonmo01,1989,Moses Malone,C,33,ATL,5,5,197,32,64,.500,1,1,1.000,31,63,.492,.508,40,51,.784,27,33,60,9,7,4,11,5,105
mccorti01,1989,Tim McCormick,C,26,HOU,4,0,53,7,13,.538,0,1,.000,7,12,.583,.538,8,9,.889,2,11,13,0,3,2,0,9,22
mcdanxa01,1989,Xavier McDaniel,SF,25,SEA,8,8,281,58,144,.403,3,9,.333,55,135,.407,.413,31,41,.756,24,43,67,22,2,5,22,30,150
mcdonbe01,1989,Ben McDonald,PF,26,GSW,5,0,40,2,10,.200,0,3,.000,2,7,.286,.200,2,4,.500,4,4,8,1,3,1,4,8,6
mchalke01,1989,Kevin McHale,PF,31,BOS,3,3,115,20,41,.488,0,0,,20,41,.488,.488,17,23,.739,7,17,24,9,1,2,4,13,57
mckeyde01,1989,Derrick McKey,SF,22,SEA,8,8,286,44,89,.494,1,9,.111,43,80,.538,.500,17,21,.810,21,31,52,18,6,15,23,33,106
mcmilna01,1989,Nate McMillan,PG,24,SEA,8,7,200,19,40,.475,0,2,.000,19,38,.500,.475,16,25,.640,9,16,25,63,10,5,19,21,54
mcnamma01,1989,Mark McNamara,C,29,LAL,3,0,7,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,0,1,1,0,0,0,0,0,3
mokespa01,1989,Paul Mokeski,C,32,MIL,5,0,61,8,14,.571,1,1,1.000,7,13,.538,.607,6,8,.750,8,9,17,3,0,0,2,16,23
moncrsi01,1989,Sidney Moncrief,PG,31,MIL,9,9,184,19,48,.396,2,7,.286,17,41,.415,.417,15,16,.938,8,18,26,13,5,2,11,17,55
mullich01,1989,Chris Mullin,SF,25,GSW,8,8,341,88,163,.540,1,8,.125,87,155,.561,.543,58,67,.866,11,36,47,36,14,11,32,19,235
myerspe01,1989,Pete Myers,SG,25,NYK,4,0,14,0,0,,0,0,,0,0,,,4,6,.667,1,2,3,1,0,1,0,2,4
nancela01,1989,Larry Nance,PF,29,CLE,5,5,195,38,69,.551,0,0,,38,69,.551,.551,21,32,.656,16,23,39,16,3,12,9,12,97
nealyed01,1989,Ed Nealy,PF,28,PHO,4,0,6,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,2,3,0,0,0,0,0,2
nevitch01,1989,Chuck Nevitt,C,29,HOU,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
newmajo01,1989,Johnny Newman,SF,25,NYK,9,9,258,50,107,.467,7,28,.250,43,79,.544,.500,38,49,.776,13,12,25,17,8,1,18,27,145
oaklech01,1989,Charles Oakley,PF,25,NYK,9,9,299,35,73,.479,1,2,.500,34,71,.479,.486,16,24,.667,43,58,101,11,12,1,22,31,87
olajuha01,1989,Hakeem Olajuwon,C,26,HOU,4,4,162,42,81,.519,0,0,,42,81,.519,.519,17,25,.680,14,38,52,12,10,11,10,17,101
parisro01,1989,Robert Parish,C,35,BOS,3,3,112,20,44,.455,0,0,,20,44,.455,.455,7,9,.778,6,20,26,6,4,2,6,5,47
paxsojo01,1989,John Paxson,PG,28,CHI,16,0,302,37,78,.474,5,19,.263,32,59,.542,.506,14,16,.875,2,8,10,34,12,0,15,35,93
perduwi01,1989,Will Perdue,C,23,CHI,3,0,22,6,9,.667,0,1,.000,6,8,.750,.667,2,3,.667,3,3,6,2,0,0,0,4,14
perryti01,1989,Tim Perry,C,23,PHO,4,0,17,2,4,.500,0,0,,2,4,.500,.500,0,2,.000,1,1,2,0,2,1,1,1,4
piercri01,1989,Ricky Pierce,SG,29,MIL,9,0,292,77,141,.546,6,8,.750,71,133,.534,.567,41,47,.872,5,20,25,25,11,2,9,31,201
pincked01,1989,Ed Pinckney,PF,25,BOS,3,0,45,3,12,.250,0,0,,3,12,.250,.250,2,2,1.000,2,3,5,1,1,1,4,7,8
pippesc01,1989,Scottie Pippen,SF,23,CHI,17,17,619,84,182,.462,22,56,.393,62,126,.492,.522,32,50,.640,34,95,129,67,23,16,41,63,222
polynol01,1989,Olden Polynice,C,24,SEA,8,0,162,25,41,.610,0,0,,25,41,.610,.610,7,13,.538,27,35,62,1,6,4,5,32,57
portete01,1989,Terry Porter,PG,25,POR,3,3,124,26,52,.500,4,11,.364,22,41,.537,.538,10,12,.833,6,10,16,25,1,1,7,8,66
pricema01,1989,Mark Price,PG,24,CLE,4,4,158,22,57,.386,6,16,.375,16,41,.390,.439,14,15,.933,4,9,13,22,3,0,19,3,64
rasmubl01,1989,Blair Rasmussen,C,26,DEN,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0
reynoje01,1989,Jerry Reynolds,SG,26,SEA,4,0,40,7,22,.318,1,4,.250,6,18,.333,.341,7,10,.700,1,4,5,1,2,6,4,6,22
richmmi01,1989,Mitch Richmond,SG,23,GSW,8,8,314,62,135,.459,3,16,.188,59,119,.496,.470,34,38,.895,10,48,58,35,14,1,24,25,161
riverda01,1989,David Rivers,PG,24,LAL,6,0,33,4,12,.333,0,2,.000,4,10,.400,.333,7,8,.875,1,3,4,6,0,0,4,6,15
riverdo01,1989,Doc Rivers,PG,27,ATL,5,5,191,22,57,.386,6,19,.316,16,38,.421,.439,17,24,.708,4,20,24,34,7,2,12,22,67
roberfr01,1989,Fred Roberts,PF,28,MIL,9,5,345,49,100,.490,0,3,.000,49,97,.505,.490,34,40,.850,11,28,39,20,5,4,13,29,132
rodmade01,1989,Dennis Rodman,SF,27,DET,17,0,409,37,70,.529,0,4,.000,37,66,.561,.529,24,35,.686,56,114,170,16,6,12,24,58,98
rollitr01,1989,Tree Rollins,C,33,CLE,5,0,74,6,8,.750,0,0,,6,8,.750,.750,3,5,.600,5,11,16,1,3,7,1,10,15
sallejo01,1989,John Salley,PF,24,DET,17,0,392,58,99,.586,0,0,,58,99,.586,.586,36,54,.667,34,45,79,9,9,25,12,58,152
sampsra01,1989,Ralph Sampson,C,28,GSW,3,1,43,9,22,.409,0,4,.000,9,18,.500,.409,2,4,.500,6,8,14,1,1,2,4,8,20
sandemi01,1989,Mike Sanders,SF,28,CLE,5,3,87,15,30,.500,0,0,,15,30,.500,.500,3,5,.600,6,10,16,4,2,1,10,11,33
schayda01,1989,Danny Schayes,C,29,DEN,2,0,36,1,7,.143,0,0,,1,7,.143,.143,6,8,.750,2,9,11,1,1,1,1,4,8
schoeru01,1989,Russ Schoene,PF,28,SEA,3,0,43,4,17,.235,0,7,.000,4,10,.400,.235,5,6,.833,3,2,5,2,2,0,0,7,13
scottby01,1989,Byron Scott,SG,27,LAL,11,11,402,79,160,.494,15,39,.385,64,121,.529,.541,46,55,.836,10,35,45,25,18,2,20,31,219
sellebr01,1989,Brad Sellers,PF,26,CHI,13,0,177,22,58,.379,0,0,,22,58,.379,.379,10,12,.833,15,16,31,15,3,4,6,21,54
shawbr01,1989,Brian Shaw,SG,22,BOS,3,3,124,22,43,.512,0,1,.000,22,42,.524,.512,7,9,.778,2,15,17,19,3,0,6,11,51
shortpu01,1989,Purvis Short,SF,31,HOU,4,0,37,8,21,.381,0,2,.000,8,19,.421,.381,3,5,.600,6,3,9,1,0,0,1,7,19
sichtje01,1989,Jerry Sichting,PG,32,POR,1,0,11,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,1,1,1,0,0,0,1,0
sikmaja01,1989,Jack Sikma,C,33,MIL,9,9,301,37,94,.394,8,28,.286,29,66,.439,.436,23,28,.821,9,41,50,30,8,4,21,41,105
smithde02,1989,Derek Smith,SG,27,PHI,3,3,48,9,14,.643,0,0,,9,14,.643,.643,1,2,.500,2,5,7,3,1,0,6,9,19
smithla01,1989,Larry Smith,PF,31,GSW,8,8,148,4,16,.250,0,0,,4,16,.250,.250,0,0,,17,23,40,16,6,11,6,24,8
smithot01,1989,Otis Smith,SG,25,GSW,4,0,49,9,24,.375,0,0,,9,24,.375,.375,1,2,.500,6,7,13,6,2,1,2,5,19
stockjo01,1989,John Stockton,PG,26,UTA,3,3,139,30,59,.508,3,4,.750,27,55,.491,.534,19,21,.905,2,8,10,41,11,5,11,15,82
stricro02,1989,Rod Strickland,PG,22,NYK,9,0,111,22,49,.449,1,1,1.000,21,48,.438,.459,9,17,.529,6,7,13,25,4,1,13,21,54
teaglte01,1989,Terry Teagle,SF,28,GSW,8,0,240,70,141,.496,0,2,.000,70,139,.504,.496,18,22,.818,15,22,37,10,8,3,13,27,158
theusre01,1989,Reggie Theus,SG,31,ATL,5,5,127,14,38,.368,0,2,.000,14,36,.389,.368,9,12,.750,3,4,7,24,1,0,10,18,37
thomais01,1989,Isiah Thomas,PG,27,DET,17,17,633,115,279,.412,8,30,.267,107,249,.430,.427,71,96,.740,24,49,73,141,27,4,43,39,309
thompmy01,1989,Mychal Thompson,C,34,LAL,15,0,377,65,128,.508,0,0,,65,128,.508,.508,41,60,.683,39,38,77,11,6,12,14,52,171
thorpot01,1989,Otis Thorpe,PF,26,HOU,4,4,152,24,37,.649,0,0,,24,37,.649,.649,16,21,.762,6,14,20,12,5,1,15,17,64
threase01,1989,Sedale Threatt,PG,27,SEA,8,1,201,39,82,.476,1,4,.250,38,78,.487,.482,17,20,.850,3,10,13,49,17,0,11,22,96
tucketr01,1989,Trent Tucker,SG,29,NYK,9,0,159,27,58,.466,15,32,.469,12,26,.462,.595,2,4,.500,9,10,19,14,10,2,6,20,71
turneel01,1989,Elston Turner,SF,29,DEN,3,0,74,6,13,.462,0,1,.000,6,12,.500,.462,2,6,.333,2,9,11,3,1,0,0,9,14
upshake01,1989,Kelvin Upshaw,SG,26,BOS,3,0,24,5,12,.417,0,0,,5,12,.417,.417,0,0,,0,2,2,5,1,0,1,4,10
valenda01,1989,Darnell Valentine,SG,29,CLE,5,0,80,7,20,.350,0,0,,7,20,.350,.350,7,8,.875,3,4,7,16,5,0,5,7,21
vandeki01,1989,Kiki Vandeweghe,PF,30,NYK,9,0,159,25,49,.510,3,8,.375,22,41,.537,.541,20,21,.952,2,9,11,7,3,2,5,10,73
vincesa01,1989,Sam Vincent,PG,25,CHI,16,0,113,10,33,.303,0,2,.000,10,31,.323,.303,9,12,.750,4,4,8,19,3,1,6,9,29
walkeke01,1989,Kenny Walker,SF,24,NYK,9,0,90,3,13,.231,0,0,,3,13,.231,.231,14,19,.737,5,11,16,2,1,3,4,22,20
webbsp01,1989,Spud Webb,PG,25,ATL,5,0,55,3,11,.273,0,0,,3,11,.273,.273,2,2,1.000,0,4,4,15,4,0,0,6,8
welpch01,1989,Chris Welp,C,25,PHI,3,0,22,1,3,.333,0,0,,1,3,.333,.333,0,2,.000,0,7,7,0,0,0,1,7,2
westma01,1989,Mark West,C,28,PHO,12,12,227,32,50,.640,0,0,,32,50,.640,.640,10,14,.714,21,32,53,6,7,19,13,36,74
wilkido01,1989,Dominique Wilkins,SF,29,ATL,5,5,212,52,116,.448,5,17,.294,47,99,.475,.470,27,38,.711,10,17,27,17,4,8,12,5,136
wilkied01,1989,Eddie Lee Wilkins,C,26,NYK,7,0,26,5,11,.455,0,0,,5,11,.455,.455,5,10,.500,5,6,11,0,0,0,4,3,15
wilkige01,1989,Gerald Wilkins,SG,25,NYK,9,9,290,63,131,.481,1,10,.100,62,121,.512,.485,18,23,.783,9,24,33,42,12,3,22,27,145
williho01,1989,Hot Rod Williams,PF,26,CLE,5,2,161,21,45,.467,0,0,,21,45,.467,.467,13,18,.722,7,27,34,10,2,7,11,12,55
willimi02,1989,Micheal Williams,PG,22,DET,4,0,6,0,0,,0,0,,0,0,,,2,2,1.000,1,1,2,2,1,0,0,1,2
woodsmi01,1989,Mike Woodson,SG,30,HOU,4,4,137,17,49,.347,3,9,.333,14,40,.350,.378,10,12,.833,4,5,9,18,4,2,9,7,47
woolror01,1989,Orlando Woolridge,SF,29,LAL,15,0,276,39,75,.520,0,0,,39,75,.520,.520,44,62,.710,20,50,70,17,2,15,22,35,122
worthja01,1989,James Worthy,SF,27,LAL,15,15,600,153,270,.567,3,8,.375,150,262,.573,.572,63,80,.788,37,64,101,42,18,16,33,36,372
youngda01,1989,Danny Young,PG,26,POR,3,1,66,12,26,.462,3,8,.375,9,18,.500,.519,1,2,.500,2,6,8,12,1,0,2,2,28
adamsmi01,1990,Michael Adams,PG,27,DEN,3,3,105,13,34,.382,6,20,.300,7,14,.500,.471,7,8,.875,0,6,6,18,4,0,8,10,39
aguirma01,1990,Mark Aguirre,SF,30,DET,20,3,439,86,184,.467,8,24,.333,78,160,.488,.489,39,52,.750,31,60,91,27,10,3,30,51,219
alforst01,1990,Steve Alford,PG,25,DAL,3,0,42,8,18,.444,2,6,.333,6,12,.500,.500,5,5,1.000,1,2,3,8,1,0,3,4,23
andergr01,1990,Greg Anderson,PF,25,MIL,4,0,101,13,19,.684,0,0,,13,19,.684,.684,7,14,.500,6,18,24,0,1,4,4,19,33
anderro01,1990,Ron Anderson,SF,31,PHI,10,0,256,40,93,.430,3,5,.600,37,88,.420,.446,29,30,.967,6,31,37,14,4,0,15,22,112
anderwi01,1990,Willie Anderson,SG,23,SAS,10,10,375,87,168,.518,2,5,.400,85,163,.521,.524,29,36,.806,16,38,54,52,9,4,26,40,205
armstbj01,1990,B.J. Armstrong,PG,22,CHI,16,0,217,21,62,.339,0,4,.000,21,58,.362,.339,22,24,.917,3,17,20,29,10,0,12,22,64
baglejo01,1990,John Bagley,PG,29,BOS,5,0,70,8,15,.533,0,1,.000,8,14,.571,.533,3,4,.750,3,1,4,17,4,1,9,9,19
baileth01,1990,Thurl Bailey,SF,28,UTA,5,5,190,43,88,.489,0,0,,43,88,.489,.489,19,24,.792,8,24,32,7,5,6,5,19,105
barklch01,1990,Charles Barkley,SF,26,PHI,10,10,419,88,162,.543,6,18,.333,82,144,.569,.562,65,108,.602,66,89,155,43,8,7,30,36,247
battlke01,1990,Kenny Battle,SG,25,PHO,8,0,34,4,13,.308,0,0,,4,13,.308,.308,1,1,1.000,1,4,5,0,0,0,2,5,9
bedfowi01,1990,William Bedford,C,26,DET,5,0,19,1,6,.167,0,0,,1,6,.167,.167,2,2,1.000,0,2,2,0,0,1,0,4,4
bennewi01,1990,Winston Bennett,SF,24,CLE,5,5,135,23,47,.489,0,0,,23,47,.489,.489,4,6,.667,14,7,21,5,3,1,4,11,50
birdla01,1990,Larry Bird,SF,33,BOS,5,5,207,44,99,.444,5,19,.263,39,80,.488,.470,29,32,.906,7,39,46,44,5,5,18,10,122
blabuw01,1990,Uwe Blab,C,27,SAS,2,0,5,0,1,.000,0,0,,0,1,.000,.000,3,6,.500,0,2,2,0,0,0,0,0,3
blackro01,1990,Rolando Blackman,SG,30,DAL,3,3,127,24,54,.444,2,5,.400,22,49,.449,.463,10,10,1.000,2,7,9,13,6,2,13,7,60
bowiean01,1990,Anthony Bowie,SG,26,HOU,2,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0
brickfr01,1990,Frank Brickowski,C,30,SAS,10,0,161,31,54,.574,0,0,,31,54,.574,.574,17,26,.654,16,28,44,11,8,1,15,31,79
brooksc01,1990,Scott Brooks,PG,24,PHI,9,0,99,6,19,.316,3,7,.429,3,12,.250,.395,6,9,.667,2,6,8,16,3,0,7,13,21
brownmi01,1990,Mike Brown,C,26,UTA,5,0,67,7,15,.467,0,0,,7,15,.467,.467,4,5,.800,5,5,10,3,1,1,5,11,18
brownra01,1990,Raymond Brown,PF,24,UTA,3,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
brownto01,1990,Tony Brown,SF,29,MIL,2,0,13,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,0,0,0,2,0,0,3,3
bryanma01,1990,Mark Bryant,PF,24,POR,13,0,160,18,33,.545,0,0,,18,33,.545,.545,6,8,.750,9,20,29,3,3,2,12,27,42
caldwad01,1990,Adrian Caldwell,PF,23,HOU,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
carrojo01,1990,Joe Barry Carroll,C,31,DEN,3,3,46,9,16,.563,0,0,,9,16,.563,.563,2,2,1.000,1,8,9,3,1,5,1,6,20
cartwbi01,1990,Bill Cartwright,C,32,CHI,16,16,462,50,121,.413,0,0,,50,121,.413,.413,29,43,.674,25,50,75,16,5,4,25,52,129
chambto01,1990,Tom Chambers,PF,30,PHO,16,16,612,117,275,.425,5,19,.263,112,256,.438,.435,116,132,.879,20,87,107,31,7,7,49,54,355
cheekma01,1990,Maurice Cheeks,PG,33,NYK,10,10,388,50,104,.481,0,4,.000,50,100,.500,.481,28,31,.903,12,27,39,85,17,2,19,21,128
chievde01,1990,Derrick Chievous,SF,22,CLE,3,0,28,6,10,.600,0,0,,6,10,.600,.600,7,9,.778,2,1,3,2,1,0,3,2,19
coopemi01,1990,Michael Cooper,SG,33,LAL,9,0,173,10,35,.286,3,12,.250,7,23,.304,.329,0,0,,11,13,24,25,7,4,7,21,23
coopewa01,1990,Wayne Cooper,C,33,POR,18,0,248,19,47,.404,0,0,,19,47,.404,.404,10,19,.526,25,46,71,5,5,29,5,40,48
