ID,Player,Years,From,To,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,2P%,eFG%,Draft
456,Troy Bell,1.0,2003.0,2003.0,BC,31,38.645,7.226,16.387,44.095929700372245,3.4189999999999996,8.516,40.14795678722405,7.322999999999999,8.645,84.70792365529208,2.548,2.129,1.548,3.032,4.581,3.71,2.258,0.226,25.19400000000001,48.36742472366916,54.527979495941906,16
452,Carmelo Anthony,1.0,2003.0,2003.0,SU,35,36.4,7.914,17.486,45.25906439437264,1.6,4.743,33.733923676997684,4.8,6.8,70.58823529411767,2.2,2.2,2.886,6.857,9.743,2.2,1.486,0.857,22.229,49.548771874754756,49.8341530367151,3
444,Mike Sweetney,1.0,2003.0,2003.0,GU,34,32.0,7.765,14.206,54.66000281571167,0.0,0.08800000000000001,0.0,7.294,9.882,73.81096943938475,2.088,2.7939999999999996,4.059,6.706,10.765,1.9409999999999998,1.382,3.2060000000000004,22.824,55.00070831562544,54.66000281571167,9
410,Andre Emmett,2.0,2003.0,2004.0,TTU,68,37.015,8.162,15.956,51.15317122085736,0.397,1.2209999999999999,32.514332514332516,4.426,6.1320000000000014,72.17873450750164,2.088,1.4709999999999999,2.191,4.456,6.647,1.838,1.5590000000000002,0.382,21.235,52.69765863590093,52.3972173477062,35
417,Luis Flores,2.0,2003.0,2004.0,MAN,61,37.492,7.525,16.77,44.87179487179488,2.033,5.3610000000000015,37.9220294721134,7.0329999999999995,7.9670000000000005,88.27664114472198,2.803,2.377,1.393,3.41,4.803,2.246,1.9340000000000002,0.24600000000000002,24.311,48.13743535805067,50.93321407274897,55
450,Dwyane Wade,1.0,2003.0,2003.0,MU,33,32.061,7.606,15.182,50.09880121196153,0.424,1.3330000000000002,31.807951987996997,5.879,7.545,77.91915175612988,3.242,2.303,1.818,4.515,6.3329999999999975,4.394,2.1519999999999997,1.3030000000000002,21.515,51.859340024550505,51.495191674351204,5
292,Nick Collison,1.0,2003.0,2003.0,KU,38,32.421,7.395,13.342,55.42647279268475,0.342,1.0,34.2,3.342,5.263,63.499904997149905,2.421,2.5,3.2889999999999997,6.711,10.0,2.211,1.158,1.9469999999999998,18.474,57.14632960622266,56.70813970918904,12
57,Chris Kaman,1.0,2003.0,2003.0,CMU,31,34.032,7.871,12.645,62.245947014630296,0.0,0.0,,6.6770000000000005,8.902999999999997,74.99719195776704,4.419,3.194,3.613,8.419,12.032,1.258,0.613,3.161,22.419,62.245947014630296,62.245947014630296,6
474,Willie Green,1.0,2003.0,2003.0,UDM,30,34.033,8.133,16.6,48.99397590361446,1.2329999999999999,3.267,37.74104683195593,5.1,6.3329999999999975,80.53055423969681,2.267,2.367,1.067,3.867,4.933,2.467,1.3330000000000002,0.433,22.6,51.75129378234454,52.7078313253012,41
403,Ricky Minard,2.0,2003.0,2004.0,MSU,58,32.81,7.5,15.552,48.22530864197532,1.7069999999999999,4.914,34.737484737484735,5.431,6.7589999999999995,80.35212309513241,3.3280000000000003,2.5860000000000003,1.5,5.966,7.466,4.552,2.121,0.552,22.138,54.45572476029329,53.7133487654321,48
284,Luke Ridnour,1.0,2003.0,2003.0,UO,33,35.424,6.152,14.242,43.19618031175397,2.455,6.4239999999999995,38.21606475716065,4.909,5.5760000000000005,88.03802008608321,3.909,2.333,0.606,2.7880000000000003,3.3939999999999997,6.606,1.909,0.061,19.667,47.28830903044256,51.81505406544026,14
454,Marcus Banks,1.0,2003.0,2003.0,UNLV,32,35.562,6.968999999999999,13.562000000000001,51.386226220321504,1.281,3.812,33.60440713536201,5.062,6.688,75.6877990430622,3.906,2.781,0.562,2.812,3.375,5.468999999999999,2.844,0.125,20.281,58.338461538461544,56.10898097625719,13
214,Ben Gordon,2.0,2003.0,2004.0,UConn,72,33.986,6.2079999999999975,14.167,43.820145408343336,2.556,5.9579999999999975,42.90030211480362,3.944,4.819,81.84270595559244,3.069,2.2640000000000002,0.875,3.597,4.4719999999999995,4.6110000000000015,1.264,0.18100000000000002,19.0,44.48775733950542,52.8411096209501,3
458,David West,1.0,2003.0,2003.0,XAV,32,36.5,6.6560000000000015,12.969000000000001,51.32238414681163,0.281,0.812,34.60591133004926,6.5310000000000015,8.0,81.6375,2.656,2.969,3.125,8.687999999999999,11.812000000000001,3.188,1.3119999999999998,1.594,20.125,52.438924076663646,52.40573675688179,18
481,Brandon Hunter,1.0,2003.0,2003.0,OU,30,38.266999999999996,7.233,13.833,52.28800693992626,0.3670000000000001,1.2329999999999999,29.76480129764801,6.632999999999999,11.167,59.39822691859946,3.6,2.8,3.167,9.433,12.6,2.6,0.833,1.167,21.467,54.492063492063494,53.61454492879346,56
212,Kirk Hinrich,1.0,2003.0,2003.0,KU,37,33.541,6.27,13.189,47.539616346955796,2.405,5.919,40.63186349045447,2.378,3.378,70.39668442865602,2.2430000000000003,2.108,1.0270000000000001,2.73,3.7569999999999997,3.514,1.865,0.4320000000000001,17.324,53.16368638239339,56.65706270376829,7
102,Craig Smith,4.0,2003.0,2006.0,BC,130,33.961999999999996,7.085,12.692,55.82256539552474,0.115,0.5,23.0,3.7769999999999997,5.885,64.18011894647411,2.2230000000000003,2.877,2.992,6.162000000000001,9.154,1.885,1.2770000000000001,0.785,18.069000000000006,57.16863517060368,56.27560668137409,36
