ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
daviswa03,1980,Walter Davis,SF,25,PHO,8,,245,69,137,0.504,0,3,0.0,69,134,0.515,0.504,28,38,0.737,9,14,23,35,4,1,20,20,166,111
dawkida01,1980,Darryl Dawkins,C,23,PHI,18,,607,126,238,0.529,0,3,0.0,126,235,0.536,0.529,60,93,0.645,44,93,137,33,13,42,46,75,312,271
drewjo01,1980,John Drew,SF,25,ATL,5,,150,24,63,0.381,0,0,,24,63,0.381,0.381,25,35,0.7140000000000001,10,20,30,4,7,0,12,21,73,32
dunlemi01,1980,Mike Dunleavy,PG,25,HOU,6,,45,6,12,0.5,0,2,0.0,6,10,0.6,0.5,5,6,0.833,2,3,5,13,5,0,6,11,17,16
dunntr01,1980,T.R. Dunn,SG,24,POR,3,,24,2,8,0.25,0,0,,2,8,0.25,0.25,2,2,1.0,1,3,4,4,1,0,1,3,6,5
elmorle01,1980,Len Elmore,C,27,KCK,3,,43,4,13,0.308,0,0,,4,13,0.308,0.308,1,2,0.5,6,5,11,1,3,1,4,4,9,7
ervinju01,1980,Julius Erving,SF,29,PHI,18,,694,165,338,0.488,2,9,0.222,163,329,0.495,0.491,108,136,0.794,31,105,136,79,36,37,56,56,440,415
evansmi01,1980,Mike Evans,SG,24,SAS,2,,12,3,8,0.375,2,4,0.5,1,4,0.25,0.5,3,4,0.75,0,2,2,2,0,0,0,2,11,7
fernser01,1980,Eric Fernsten,PF,26,BOS,5,,18,2,6,0.33299999999999996,0,0,,2,6,0.33299999999999996,0.33299999999999996,2,3,0.667,3,2,5,0,0,3,2,1,6,6
fordch01,1980,Chris Ford,SG,31,BOS,9,,279,34,79,0.43,2,13,0.154,32,66,0.485,0.44299999999999995,12,15,0.8,9,16,25,21,14,6,13,35,82,52
fordph01,1980,Phil Ford,PG,23,KCK,3,,110,20,43,0.465,3,4,0.75,17,39,0.436,0.5,9,11,0.818,0,6,6,26,5,0,12,6,52,46
galemi01,1980,Mike Gale,PG,29,SAS,3,,69,8,20,0.4,1,4,0.25,7,16,0.43799999999999994,0.425,4,7,0.5710000000000001,1,5,6,16,5,0,3,6,21,24
gerargu01,1980,Gus Gerard,SF,26,KCK,3,,26,4,10,0.4,0,0,,4,10,0.4,0.4,2,4,0.5,4,4,8,2,0,0,4,2,10,6
gervige01,1980,George Gervin,SG,27,SAS,3,,122,37,74,0.5,0,2,0.0,37,72,0.514,0.5,26,30,0.867,9,11,20,12,5,3,9,8,100,82
givenja01,1980,Jack Givens,SF,23,ATL,4,,36,3,14,0.214,0,0,,3,14,0.214,0.214,0,0,,1,4,5,3,2,0,3,7,6,-5
greveke01,1980,Kevin Grevey,SF,26,WSB,2,,72,16,30,0.5329999999999999,5,10,0.5,11,20,0.55,0.617,4,4,1.0,1,5,6,8,5,2,4,9,41,35
griffpa01,1980,Paul Griffin,C,26,SAS,3,,69,7,14,0.5,0,0,,7,14,0.5,0.5,6,6,1.0,3,12,15,6,0,1,7,9,20,19
grossbo01,1980,Bob Gross,SF,26,POR,3,,51,3,9,0.33299999999999996,0,0,,3,9,0.33299999999999996,0.33299999999999996,6,6,1.0,1,3,4,4,1,0,3,8,12,4
